Date,Open,High,Low,Close,Adj Close,Volume
9/6/2019,214.050003,214.419998,212.509995,213.259995,213.259995,19362300
9/5/2019,212,213.970001,211.509995,213.279999,213.279999,23913700
9/4/2019,208.389999,209.479996,207.320007,209.190002,209.190002,19188100
9/3/2019,206.429993,206.979996,204.220001,205.699997,205.699997,20023000
8/30/2019,210.160004,210.449997,207.199997,208.740005,208.740005,21143400
8/29/2019,208.5,209.320007,206.660004,209.009995,209.009995,20990500
8/28/2019,204.100006,205.720001,203.320007,205.529999,205.529999,15938800
8/27/2019,207.860001,208.550003,203.529999,204.160004,204.160004,25873300
8/26/2019,205.860001,207.190002,205.059998,206.490005,206.490005,26043600
8/23/2019,209.429993,212.050003,201,202.639999,202.639999,46818000
8/22/2019,213.190002,214.440002,210.75,212.460007,212.460007,22253700
8/21/2019,212.990005,213.649994,211.600006,212.639999,212.639999,21535400
8/20/2019,210.880005,213.350006,210.320007,210.360001,210.360001,26884300
8/19/2019,210.619995,212.729996,210.029999,210.350006,210.350006,24413600
8/16/2019,204.279999,207.160004,203.839996,206.5,206.5,27620400
8/15/2019,203.460007,205.139999,199.669998,201.740005,201.740005,27227400
8/14/2019,203.160004,206.440002,202.589996,202.75,202.75,36547400
8/13/2019,201.020004,212.139999,200.479996,208.970001,208.970001,47218500
8/12/2019,199.619995,202.050003,199.149994,200.479996,200.479996,22481900
8/9/2019,201.300003,202.759995,199.289993,200.990005,200.990005,24619700
8/8/2019,200.199997,203.529999,199.389999,203.429993,202.659988,27009500
8/7/2019,195.410004,199.559998,193.820007,199.039993,198.286606,33364400
8/6/2019,196.309998,198.070007,194.039993,197,196.254333,35824800
8/5/2019,197.990005,198.649994,192.580002,193.339996,192.608185,52393000
8/2/2019,205.529999,206.429993,201.630005,204.020004,203.247772,40862100
8/1/2019,213.899994,218.029999,206.740005,208.429993,207.641068,54017900
7/31/2019,216.419998,221.369995,211.300003,213.039993,212.233627,69281400
7/30/2019,208.759995,210.160004,207.309998,208.779999,207.989746,33935700
7/29/2019,208.460007,210.639999,208.440002,209.679993,208.886337,21673400
7/26/2019,207.479996,209.729996,207.139999,207.740005,206.95369,17618900
7/25/2019,208.889999,209.240005,206.729996,207.020004,206.23642,13909600
7/24/2019,207.669998,209.149994,207.169998,208.669998,207.880173,14991600
7/23/2019,208.460007,208.910004,207.289993,208.839996,208.049515,18355200
7/22/2019,203.649994,207.229996,203.610001,207.220001,206.435654,22277900
7/19/2019,205.789993,206.5,202.360001,202.589996,201.823181,20929300
7/18/2019,204,205.880005,203.699997,205.660004,204.881561,18540600
7/17/2019,204.050003,205.089996,203.270004,203.350006,202.580307,14107500
7/16/2019,204.589996,206.110001,203.5,204.5,203.725952,16866800
7/15/2019,204.089996,205.869995,204,205.210007,204.433273,16947400
7/12/2019,202.449997,204,202.199997,203.300003,202.530502,17595200
7/11/2019,203.309998,204.389999,201.710007,201.75,200.986359,20191800
7/10/2019,201.850006,203.729996,201.559998,203.229996,202.460754,17897100
7/9/2019,199.199997,201.509995,198.809998,201.240005,200.478302,20578000
7/8/2019,200.809998,201.399994,198.410004,200.020004,199.262909,25338600
7/5/2019,203.350006,205.080002,202.899994,204.229996,203.45697,17265500
7/3/2019,203.279999,204.440002,202.690002,204.410004,203.636292,11362000
7/2/2019,201.410004,203.130005,201.360001,202.729996,201.962646,16935200
7/1/2019,203.169998,204.490005,200.649994,201.550003,200.787125,27253000
6/28/2019,198.679993,199.5,197.050003,197.919998,197.170853,31110600
6/27/2019,200.289993,201.570007,199.570007,199.740005,198.983978,20899700
6/26/2019,197.770004,200.990005,197.350006,199.800003,199.043747,26067500
