positive_score,negative_score,neutral_score,open_price,close_price,high_price,low_price,volume,total_words,total_hashtag,class_label
17.02,42.55,40.43,1208.13,1204.93,1212.02,1202.52,1072100,994,30,-1
30,22.5,47.5,1191.53,1211.38,1213.04,1191.53,1408100,805,30,1
37.25,17.65,45.1,1176.71,1181.41,1183.48,1171,1068900,1310,38,1
26,14,60,1177.03,1168.39,1186.89,1163.2,1479900,1154,41,-1
23.4,21.28,55.32,1198.5,1188.1,1198.5,1183.8,1129800,790,49,-1
35.85,18.87,45.28,1181.12,1192.85,1196.06,1181.12,1088400,1224,26,1
36.17,25.53,38.3,1161.71,1171.02,1176.42,1157.3,802000,1149,42,1
19.57,28.26,52.17,1180.53,1167.84,1182.4,1161.45,1077200,946,33,-1
27.5,10,62.5,1157.26,1168.89,1169.47,1152.96,1226100,599,52,1
30.36,21.43,48.21,1181.99,1151.29,1194.08,1147.75,1687000,1088,17,-1
24.53,13.21,62.26,1194.07,1189.53,1198.01,1178.58,947500,1091,64,-1
37.78,17.78,44.44,1193.15,1191.25,1199,1187.43,740700,839,24,1
23.4,23.4,53.19,1195.25,1182.69,1196.06,1182.11,915500,866,29,-1
25.37,10.45,64.18,1190.09,1198.45,1206.99,1190.09,1231600,1118,32,1
30.91,20,49.09,1179.55,1177.6,1182.72,1171.81,1313300,1194,49,1
24.07,29.63,46.3,1163.5,1167.26,1175.84,1162.11,1218700,1199,36,1
26.98,20.63,52.38,1176.31,1164.29,1182.3,1160.54,1578700,1547,38,-1
29.03,12.9,58.06,1171.46,1197.27,1204.78,1171.46,1294400,1399,25,1
35.94,12.5,51.56,1179.21,1174.71,1184.96,1167.67,1003000,1219,30,-1
20.9,16.42,62.69,1197.99,1188.01,1203.88,1183.6,1065700,1262,35,-1
33.85,10.77,55.38,1182.83,1204.8,1205.01,1173.02,1468000,1180,32,1
31.37,23.53,45.1,1156,1173.99,1178.44,1149.62,1444300,958,39,1
42,16,42,1163.31,1169.95,1179.96,1160,1709400,1034,29,1
32.76,12.07,55.17,1170.04,1152.32,1175.24,1140.14,2597500,1162,41,-1
33.33,16.67,50,1200.74,1193.99,1206.9,1188.94,1645100,1329,61,-1
30,21.67,48.33,1214.03,1209.01,1234.11,1205.72,1698500,1042,30,-1
30.51,13.56,55.93,1225.41,1225.14,1234.87,1223.3,1453300,893,50,-1
35.29,17.65,47.06,1241.05,1239.41,1247.37,1228.23,2223700,1174,56,-1
27.59,6.9,65.52,1224.04,1250.41,1265.55,1224,4805800,829,32,1
27.87,19.67,52.46,1137.82,1132.12,1141.7,1120.92,2209800,1052,12,-1
30.77,23.08,46.15,1131.9,1137.81,1144,1126.99,1589800,1599,22,-1
24.62,13.85,61.54,1144,1146.21,1146.9,1131.8,1093700,1255,28,1
35.71,3.57,60.71,1133.45,1138.07,1139.25,1124.24,1301500,1107,8,1
29.82,12.28,57.89,1148.19,1130.1,1151.14,1129.62,1647200,1026,39,-1
34.72,18.06,47.22,1141.74,1146.33,1147.6,1132.73,1290700,1520,38,-1
22.22,25.4,52.38,1150.97,1146.35,1158.36,1145.77,1170000,1298,47,-1
42.11,14.04,43.86,1146,1153.58,1158.58,1145,1238800,1216,22,1
18,24,58,1146.86,1150.34,1150.82,1139.4,903800,909,34,1
35.82,14.93,49.25,1143.99,1144.9,1147.34,1138.78,864000,1293,33,1
22.95,14.75,62.3,1143.25,1144.21,1153.07,1139.58,1195500,1313,30,1
29.03,22.58,48.39,1131.22,1140.48,1142.05,1130.97,1209500,1351,43,1
30.51,13.56,55.93,1111.8,1124.83,1128.03,1107.17,1330400,1003,49,1
28.81,10.17,61.02,1125.17,1116.35,1125.98,1111.21,1236400,1227,74,-1
19.15,27.66,53.19,1117.8,1131.59,1132.88,1116.14,1264300,910,16,1
25,14.47,60.53,1117.41,1121.58,1126.76,1113.86,767000,1458,25,1
21.05,14.04,64.91,1102.24,1111.25,1111.77,1098.17,991600,1139,28,1
24.56,15.79,59.65,1098,1097.95,1107.58,1093.7,1436300,1075,53,1
28.57,23.81,47.62,1076.39,1080.91,1081,1073.37,1693200,1452,47,1
24.07,20.37,55.56,1084,1076.01,1087.1,1075.29,1004300,1097,29,-1
17.74,14.52,67.74,1086.5,1079.8,1092.97,1072.24,1810900,1042,100,-1
16.33,24.49,59.18,1112.66,1086.35,1114.35,1083.8,1546900,959,46,-1
25.93,20.37,53.7,1119.61,1115.52,1122,1111.01,1395600,1183,34,-1
30.3,15.15,54.55,1109.24,1121.88,1124.11,1108.08,1947600,1447,71,1
21.43,21.43,57.14,1119.99,1111.42,1120.12,1104.74,1262000,1089,16,1
36.36,12.73,50.91,1105.6,1102.33,1107,1093.48,1338800,1014,39,-1
27.27,19.7,53.03,1109.69,1103.6,1116.39,1098.99,1386700,1244,39,1
29.03,25.81,45.16,1086.28,1092.5,1099.18,1086.28,941600,1290,39,1
26.53,28.57,44.9,1086.42,1085.35,1092.69,1080.17,1111500,1043,23,-1
23.4,10.64,65.96,1083.64,1088.77,1094.17,1080.15,1057700,757,48,1
22.64,26.42,50.94,1078,1077.03,1080.93,1067.54,1061000,1147,72,-1
23.73,15.25,61.02,1093.98,1078.72,1101.99,1077.6,1436700,883,41,-1
25.49,25.49,49.02,1072.98,1080.38,1092.66,1072.32,1464200,972,37,1
28.07,28.07,43.86,1050.63,1066.04,1070.92,1048.4,1802400,1009,23,1
14.89,27.66,57.45,1044.99,1044.34,1047.49,1033.7,1703200,976,10,1
25.42,23.73,50.85,1051.54,1042.22,1053.55,1030.49,2168400,1305,63,-1
28,32,40,1042.9,1053.05,1056.05,1033.69,2833500,1103,23,1
17.19,14.06,68.75,1065.5,1036.23,1065.5,1025,5130600,1210,15,-1
18.33,16.67,65,1115.54,1117.95,1123.13,1112.12,951900,1025,50,1
28.57,19.05,52.38,1127.52,1116.46,1129.1,1108.22,1538200,1192,60,-1
30,20,50,1134,1134.15,1151.59,1133.12,1365000,1192,22,1
29.41,19.61,50.98,1147.36,1133.47,1149.77,1131.66,1112000,925,40,-1
20,20,60,1140.5,1140.77,1145.97,1129.22,1198900,1028,20,-1
24.07,27.78,48.15,1146.75,1151.42,1158.52,1145.89,914500,1234,53,1
33.33,14.81,51.85,1148.49,1149.63,1152.71,1137.94,1159800,1064,40,1
21.82,20,58.18,1144.5,1138.85,1146.8,1131.44,1353300,1134,48,-1
28.57,19.64,51.79,1168.47,1162.3,1180.15,1160.01,1208600,1337,80,-1
31.15,6.56,62.3,1164.51,1178.98,1188.16,1162.84,1531400,1150,41,1
20.41,44.9,34.69,1117.87,1164.21,1171.33,1116.67,2289300,1017,35,1
26.53,28.57,44.9,1137.21,1120.44,1140.42,1119.55,1836600,792,35,-1
31.58,10.53,57.89,1141.96,1132.03,1147.94,1122.11,1860600,1034,73,-1
28.57,8.16,63.27,1163.59,1164.27,1172.6,1142.5,1314500,824,29,1
34.04,10.64,55.32,1159.03,1162.38,1169.66,1150.85,1185700,809,22,-1
31.48,12.96,55.56,1172.01,1166.27,1180.42,1165.74,1309300,1095,13,-1
21.28,27.66,51.06,1180.47,1174.1,1190.44,1161.04,1551400,1088,41,-1
24.19,9.68,66.13,1166.26,1189.39,1190.85,1166.26,1563900,984,55,1
20.69,20.69,58.62,1173.65,1185.4,1186.8,1169,1980700,1135,42,1
27.59,18.97,53.45,1167.76,1162.61,1174.19,1155,1944800,967,40,-1
25,7.81,67.19,1188.05,1168.08,1188.05,1167.18,2639200,804,30,-1
15.94,23.19,60.87,1274,1287.58,1289.27,1266.3,2499400,1041,33,1
27.42,24.19,48.39,1269,1272.18,1273.07,1260.32,1241400,1396,72,1
38.64,15.91,45.45,1264.77,1263.45,1267.41,1252.03,1107300,944,49,1
29.82,10.53,59.65,1264.12,1256,1268.01,1255,1018800,1064,24,-1
7.94,17.46,74.6,1250.69,1264.55,1269,1246.38,1319900,1078,72,1
24.29,12.86,62.86,1235.99,1248.84,1249.09,1228.31,807300,1196,72,1
24.49,22.45,53.06,1239.18,1236.37,1242,1234.61,1331800,926,6,1
19.57,17.39,63.04,1233,1236.34,1240.56,1227.82,1221900,952,55,1
27.45,5.88,66.67,1225,1227.13,1230.82,1220.12,856300,979,50,1
20.83,22.92,56.25,1218,1221.1,1224.2,1209.11,1187400,848,45,1
23.53,7.84,68.63,1210,1217.87,1218.35,1208.11,933400,743,85,1
17.65,19.61,62.75,1203.96,1204.62,1207.96,1200.13,710200,889,24,1
22.92,14.58,62.5,1200.68,1202.16,1203.79,1196.44,724600,725,36,1
25.86,17.24,56.9,1196,1197.25,1202.29,1193.08,876400,1022,41,-1
27.91,20.93,51.16,1207.89,1203.84,1208.69,1199.86,860200,810,19,-1
29.09,12.73,58.18,1214.99,1207.15,1216.22,1205.03,907200,865,70,-1
38.89,20.37,40.74,1205.94,1215,1215.67,1204.13,950000,1055,80,1
44.44,4.76,50.79,1207.48,1205.92,1216.3,1200.5,1014300,1230,42,1
25.93,11.11,62.96,1195.32,1200.49,1201.35,1185.71,827900,1068,19,1
18,12,70,1184.1,1194.43,1196.66,1182,1252500,880,75,1
23.4,12.77,63.83,1174.9,1173.31,1178.99,1162.88,1269900,708,12,1
12.5,8.33,79.17,1171.54,1168.49,1171.56,1159.43,961700,927,37,-1
42.86,14.29,42.86,1185.5,1173.02,1187.56,1159.37,1400200,1105,20,-1
32.69,11.54,55.77,1198.53,1184.62,1202.83,1176.72,1901200,943,32,-1
23.73,16.95,59.32,1196.93,1193,1206.4,1187.04,1496800,1002,38,-1
19.61,17.65,62.75,1226.32,1205.5,1230,1202.82,1714200,951,25,-1
31.67,13.33,55,1216,1231.54,1231.79,1213.15,1204000,1080,36,1
31.11,13.33,55.56,1197.35,1223.97,1227.14,1196.17,2227400,799,56,1
37.31,10.45,52.24,1188.81,1198.85,1200,1185.87,1520700,1429,35,1
31.67,10,58.33,1183.3,1184.26,1190,1177.42,1292600,1003,35,-1
32.14,23.21,44.64,1193.38,1184.46,1196.57,1182.61,2461800,1034,21,-1
25.86,15.52,58.62,1194.51,1185.55,1197.88,1184.48,1172800,1130,18,-1
34.38,14.06,51.56,1200.65,1193.32,1200.93,1191.94,1435900,1097,98,1
31.03,17.24,51.72,1178.26,1193.2,1200,1178.26,2013100,1003,76,1
19.23,15.38,65.38,1144.45,1175.76,1176.19,1144.45,1719200,823,62,1
31.48,20.37,48.15,1126.73,1142.32,1147.08,1123.3,1212400,1111,69,-1
33.33,11.11,55.56,1155.72,1143.3,1156.76,1134.91,1166600,1648,28,-1
22.73,13.64,63.64,1162.49,1157.86,1167.57,1155.49,1099300,929,49,-1
24.53,16.98,58.49,1150.06,1162.03,1169.61,1146.19,1443200,950,79,1
27.87,11.48,60.66,1146.99,1147.8,1158.28,1130.69,1446000,1039,43,1
28.57,3.57,67.86,1124.9,1140.99,1142.97,1124.75,1450300,828,20,1
25.49,15.69,58.82,1106.95,1116.05,1117.98,1101,968400,962,31,1
19.44,19.44,61.11,1105.75,1115.13,1119.51,1099.92,1471300,566,21,1
43.75,4.17,52.08,1116,1109.4,1118.54,1107.27,1413100,921,11,-1
41.54,13.85,44.62,1100.9,1110.37,1111.24,1095.6,1049500,1516,86,1
28.57,24.49,46.94,1110.84,1096.97,1111.94,1092.52,1415100,1027,46,-1
28.33,20,51.67,1119.99,1113.8,1123.41,1105.28,1087800,1180,30,-1
14,14,72,1110,1118.56,1121.89,1110,1046400,753,8,1
34.04,6.38,59.57,1130.08,1113.65,1131.67,1110.65,1449800,780,35,-1
33.9,10.17,55.93,1118.05,1121.67,1128.23,1110.44,947600,1093,63,1
28.57,12.5,58.93,1124.99,1120.16,1134.73,1118.5,1049800,956,27,-1
21.05,17.54,61.4,1106.8,1121.37,1125.3,1105.85,1609100,1049,21,1
14.81,7.41,77.78,1096.95,1095.01,1105.94,1092.86,1065200,845,24,-1
31.03,5.17,63.79,1087,1095.06,1098.91,1086.55,1075800,914,68,-1
31.37,15.69,52.94,1104.16,1098.71,1104.84,1086,2044800,608,17,-1
41.82,9.09,49.09,1139.57,1115.23,1147,1112.77,2105600,894,91,-1
36.96,8.7,54.35,1124.84,1145.99,1146.85,1117.25,3552200,755,24,1
26.79,10.71,62.5,1112.66,1132.8,1132.8,1109.02,2576500,1094,34,1
31.37,19.61,49.02,1112.4,1110.75,1125,1104.89,1462200,998,13,1
25.76,25.76,48.48,1068.43,1089.06,1091,1066.85,1279800,1322,18,1
28,20,52,1072.68,1060.62,1075.15,1055.86,1021800,968,30,-1
24.14,10.34,65.52,1080.11,1070.08,1083,1063.8,1284300,1048,62,-1
22.41,18.97,58.62,1085,1090.99,1094,1081.82,1119100,914,29,1
21.15,11.54,67.31,1076.48,1073.9,1079.47,1060.7,1361300,873,31,-1
29.51,13.11,57.38,1077.35,1075.57,1084.93,1059.75,967000,919,72,1
14.55,25.45,60,1088,1070.52,1091.51,1063.47,1613500,894,62,-1
24.53,20.75,54.72,1100,1098.26,1108.35,1090.9,1955600,914,37,1
28.85,17.31,53.85,1079.47,1089.9,1091.8,1073.5,1242700,927,16,1
29.85,13.43,56.72,1080,1080.97,1092.38,1079.34,1331800,1305,45,1
32.43,10.81,56.76,1050.17,1077.15,1080.05,1047.34,1463600,588,47,1
21.15,13.46,65.38,1046.92,1044.69,1051.53,1041.26,1144300,911,44,-1
32.81,10.94,56.25,1063.18,1057.19,1063.78,1048.48,1520800,1316,52,-1
32.2,13.56,54.24,1067.66,1070.33,1071.15,1057.71,1456400,1005,15,-1
38,6,56,1081.65,1074.66,1082.63,1066.4,1199300,875,40,-1
24.49,4.08,71.43,1076.11,1076.28,1084.56,1060.53,1764900,798,42,1
21.43,16.07,62.5,1071.5,1068.39,1074,1054.76,1981900,942,42,-1
29.31,15.52,55.17,1032.59,1070.71,1070.84,1027.42,2093900,1052,54,1
31.15,8.2,60.66,1041,1016.06,1056.98,1014.07,1841100,826,52,-1
30.91,7.27,61.82,1016.57,1045.85,1052.32,1015.71,1532600,761,22,1
32.76,12.07,55.17,1049.62,1037.08,1055.56,1033.1,1414800,1130,50,-1
26.42,11.32,62.26,1017.15,1043.88,1043.89,997,2109800,827,22,1
34.69,18.37,46.94,989.01,1039.46,1040,983,2373300,941,41,1
33.33,15.79,50.88,973.9,976.22,1003.54,970.11,1590300,1058,57,-1
35.59,18.64,45.76,1015.3,979.54,1024.02,973.69,4596000,1057,42,-1
22.22,22.22,55.56,1018.13,1009.41,1034.22,996.36,2673500,860,53,-1
29.82,28.07,42.11,1033.99,1023.01,1062,1008.05,2479300,981,16,-1
22.86,20,57.14,1026.09,1028.71,1049.48,1021.44,2192500,1387,31,1
17.31,23.08,59.62,1037.51,1016.53,1053.15,1007.9,2385400,814,54,-1
21.88,20.31,57.81,1049.98,1042.1,1062.6,1040.79,1686600,1009,33,-1
18.87,13.21,67.92,1068.07,1061.9,1079.76,1053.93,1329800,867,28,-1
28.79,39.39,31.82,1068,1063.68,1081.65,1062.79,1523800,1632,35,1
20.34,23.73,55.93,1056.49,1051.75,1060.6,1039.84,1394700,1195,34,1
44.44,7.41,48.15,1035.05,1039.55,1048.45,1023.29,1807700,742,17,1
36.07,9.84,54.1,1060.01,1036.58,1075.26,1028.5,2101200,954,51,-1
14.58,20.83,64.58,1034.26,1068.73,1071.2,1030.77,2769200,1007,21,1
26.42,11.32,62.26,1103.12,1050.82,1104.42,1049.98,2345200,1184,29,-1
24.59,16.39,59.02,1123.14,1106.43,1124.65,1103.67,1991200,1108,20,1
28.81,22.03,49.15,1076.08,1088.3,1094.24,1076,1468900,1202,33,1
15.62,12.5,71.88,1048.76,1086.23,1086.84,1035.76,2475400,834,43,1
19.23,7.69,73.08,1041,1044.41,1057.58,1038.49,1803200,742,8,-1
25.93,27.78,46.3,1038.35,1048.62,1049.31,1033.91,1942800,1212,18,1
30.65,9.68,59.68,1030,1023.88,1037.59,1022.4,691500,1033,22,-1
27.27,6.06,66.67,1036.76,1037.61,1048.56,1033.47,1534300,946,45,1
31.48,18.52,50,1000,1025.76,1031.74,996.02,2449100,899,41,1
30.88,14.71,54.41,1057.2,1020,1060.79,1016.26,1858600,1311,35,-1
30.36,19.64,50,1059.41,1061.49,1067,1048.98,1658100,903,32,-1
25.93,7.41,66.67,1044.71,1064.71,1071.85,1031.78,1836100,732,36,1
22.03,11.86,66.1,1050,1043.66,1054.56,1031,1565900,789,26,1
34.15,7.32,58.54,1043.29,1036.05,1056.6,1031.15,1513700,602,14,-1
42,16,42,1061.39,1038.63,1062.12,1031,1471800,913,48,-1
30.51,16.95,52.54,1073.99,1066.15,1075.56,1053.11,1343200,926,64,-1
25,19.23,55.77,1091.38,1082.4,1093.27,1072.2,1488200,931,33,-1
28.57,8.93,62.5,1069,1093.39,1095.46,1065.9,2058400,1001,45,1
28.57,8.16,63.27,1039.48,1055.81,1064.34,1038.07,1233300,951,33,1
32.73,18.18,49.09,1055,1040.09,1058.47,1021.24,2441400,1059,37,-1
18.52,16.67,64.81,1073.73,1057.79,1082.97,1054.61,1839000,1021,40,-1
19.23,44.23,36.54,1075.8,1070,1083.97,1062.46,1482000,1174,28,1
24.07,11.11,64.81,1008.46,1036.21,1037.49,1000.75,3212700,950,38,1
18.18,30.91,50.91,1082.47,1020.08,1097.04,995.83,3880700,1220,42,-1
25.81,16.13,58.06,1037.03,1071.47,1106.53,1034.09,4187600,1003,19,-1
33.77,11.69,54.55,1071.79,1095.57,1110.98,1069.55,2545800,955,20,1
25.53,17.02,57.45,1104.25,1050.71,1106.12,1048.74,1982400,1050,35,-1
41.86,9.3,48.84,1080.89,1103.69,1107.89,1070,1848700,658,31,1
32.14,8.93,58.93,1103.06,1101.16,1112.23,1091,1514200,1018,29,1
31.37,19.61,49.02,1093.37,1096.46,1110.36,1087.75,1267600,895,66,1
17.24,8.62,74.14,1121.84,1087.97,1121.84,1077.09,2094500,1064,54,-1
39.22,11.76,49.02,1126.46,1115.69,1128.99,1102.19,1467200,991,30,-1
26.79,12.5,60.71,1104.59,1121.28,1124.22,1102.5,1928500,1046,40,1
22.22,11.11,66.67,1108.91,1092.25,1113.45,1089,1372400,1111,26,-1
43.86,12.28,43.86,1108,1110.08,1115,1086.4,2101300,1075,128,1
21.82,14.55,63.64,1072.94,1079.32,1106.4,1068.27,2949000,928,33,-1
18.03,22.95,59.02,1131.08,1081.22,1132.17,1081.13,2675700,1204,27,-1
